lhj,value_raw,value_trim,suppressed,cases
Alameda,SC,SC,TRUE,NA
Berkeley,SC,SC,TRUE,NA
Alpine/Sierra,SC,SC,TRUE,NA
Amador,SC,SC,TRUE,NA
Butte,SC,SC,TRUE,NA
Calaveras,SC,SC,TRUE,NA
Colusa,SC,SC,TRUE,NA
Contra Costa,SC,SC,TRUE,NA
Del Norte,SC,SC,TRUE,NA
El Dorado,SC,SC,TRUE,NA
Fresno,SC,SC,TRUE,NA
Glenn,SC,SC,TRUE,NA
Humboldt,SC,SC,TRUE,NA
Imperial,SC,SC,TRUE,NA
Inyo,SC,SC,TRUE,NA
Kern,SC,SC,TRUE,NA
Kings,SC,SC,TRUE,NA
Lake,SC,SC,TRUE,NA
Lassen,SC,SC,TRUE,NA
Los Angeles,SC,SC,TRUE,NA
Long Beach,SC,SC,TRUE,NA
Pasadena,SC,SC,TRUE,NA
Madera,SC,SC,TRUE,NA
Marin,SC,SC,TRUE,NA
Mariposa,SC,SC,TRUE,NA
Mendocino,SC,SC,TRUE,NA
Merced,SC,SC,TRUE,NA
Modoc,SC,SC,TRUE,NA
Mono,SC,SC,TRUE,NA
Monterey,SC,SC,TRUE,NA
Napa,SC,SC,TRUE,NA
Nevada,SC,SC,TRUE,NA
Orange,SC,SC,TRUE,NA
Placer,SC,SC,TRUE,NA
Plumas,SC,SC,TRUE,NA
Riverside,SC,SC,TRUE,NA
Sacramento,SC,SC,TRUE,NA
San Benito,SC,SC,TRUE,NA
San Bernardino,SC,SC,TRUE,NA
San Diego,SC,SC,TRUE,NA
San Francisco,SC,SC,TRUE,NA
San Joaquin,SC,SC,TRUE,NA
San Luis Obispo,SC,SC,TRUE,NA
San Mateo,SC,SC,TRUE,NA
Santa Barbara,SC,SC,TRUE,NA
Santa Clara,SC,SC,TRUE,NA
Santa Cruz,SC,SC,TRUE,NA
Shasta,SC,SC,TRUE,NA
Siskiyou,SC,SC,TRUE,NA
Solano,SC,SC,TRUE,NA
Sonoma,SC,SC,TRUE,NA
Stanislaus,SC,SC,TRUE,NA
Sutter,SC,SC,TRUE,NA
Tehama,SC,SC,TRUE,NA
Trinity,SC,SC,TRUE,NA
Tulare,SC,SC,TRUE,NA
Tuolumne,SC,SC,TRUE,NA
Ventura,SC,SC,TRUE,NA
Yolo,SC,SC,TRUE,NA
Yuba,SC,SC,TRUE,NA
