period_end_date,period_year,lhj,cases_ytd,suppressed
2026-03-31,2026,Alameda,NA,1
2026-03-31,2026,Alpine/Sierra,NA,1
2026-03-31,2026,Amador,NA,1
2026-03-31,2026,Berkeley,NA,1
2026-03-31,2026,Butte,NA,1
2026-03-31,2026,Calaveras,NA,1
2026-03-31,2026,Colusa,NA,1
2026-03-31,2026,Contra Costa,NA,1
2026-03-31,2026,Del Norte,NA,1
2026-03-31,2026,El Dorado,NA,1
2026-03-31,2026,Fresno,NA,1
2026-03-31,2026,Glenn,NA,1
2026-03-31,2026,Humboldt,NA,1
2026-03-31,2026,Imperial,NA,1
2026-03-31,2026,Inyo,NA,1
2026-03-31,2026,Kern,NA,1
2026-03-31,2026,Kings,NA,1
2026-03-31,2026,Lake,NA,1
2026-03-31,2026,Lassen,NA,1
2026-03-31,2026,Long Beach,NA,1
2026-03-31,2026,Los Angeles,NA,1
2026-03-31,2026,Madera,NA,1
2026-03-31,2026,Marin,NA,1
2026-03-31,2026,Mariposa,NA,1
2026-03-31,2026,Mendocino,NA,1
2026-03-31,2026,Merced,NA,1
2026-03-31,2026,Modoc,NA,1
2026-03-31,2026,Mono,NA,1
2026-03-31,2026,Monterey,NA,1
2026-03-31,2026,Napa,NA,1
2026-03-31,2026,Nevada,NA,1
2026-03-31,2026,Orange,NA,1
2026-03-31,2026,Pasadena,NA,1
2026-03-31,2026,Placer,NA,1
2026-03-31,2026,Plumas,NA,1
2026-03-31,2026,Riverside,NA,1
2026-03-31,2026,Sacramento,NA,1
2026-03-31,2026,San Benito,NA,1
2026-03-31,2026,San Bernardino,NA,1
2026-03-31,2026,San Diego,NA,1
2026-03-31,2026,San Francisco,NA,1
2026-03-31,2026,San Joaquin,NA,1
2026-03-31,2026,San Luis Obispo,NA,1
2026-03-31,2026,San Mateo,NA,1
2026-03-31,2026,Santa Barbara,NA,1
2026-03-31,2026,Santa Clara,NA,1
2026-03-31,2026,Santa Cruz,NA,1
2026-03-31,2026,Shasta,NA,1
2026-03-31,2026,Siskiyou,NA,1
2026-03-31,2026,Solano,NA,1
2026-03-31,2026,Sonoma,NA,1
2026-03-31,2026,Stanislaus,NA,1
2026-03-31,2026,Sutter,NA,1
2026-03-31,2026,Tehama,NA,1
2026-03-31,2026,Trinity,NA,1
2026-03-31,2026,Tulare,NA,1
2026-03-31,2026,Tuolumne,NA,1
2026-03-31,2026,Ventura,NA,1
2026-03-31,2026,Yolo,NA,1
2026-03-31,2026,Yuba,NA,1
