last_update_date,county_raw,cases_cumulative
2026-07-16,Alcona,1
2026-07-16,Allegan,22
2026-07-16,Alpena,4
2026-07-16,Arenac,1
2026-07-16,Barry,4
2026-07-16,Bay,1
2026-07-16,Benzie,2
2026-07-16,Berrien,9
2026-07-16,Branch,5
2026-07-16,Calhoun,87
2026-07-16,Cass,7
2026-07-16,Charlevoix,4
2026-07-16,Cheboygan,1
2026-07-16,Clare,3
2026-07-16,Clinton,112
2026-07-16,Crawford,17
2026-07-16,Delta,1
2026-07-16,Detroit City,51
2026-07-16,Eaton,130
2026-07-16,Emmet,1
2026-07-16,Genesee,169
2026-07-16,Grand Traverse,4
2026-07-16,Gratiot,31
2026-07-16,Hillsdale,29
2026-07-16,Houghton,3
2026-07-16,Huron,36
2026-07-16,Ingham,393
2026-07-16,Ionia,89
2026-07-16,Iosco,3
2026-07-16,Isabella,4
2026-07-16,Jackson,112
2026-07-16,Kalamazoo,63
2026-07-16,Kalkaska,1
2026-07-16,Kent,39
2026-07-16,Lapeer,13
2026-07-16,Leelanau,1
2026-07-16,Lenawee,205
2026-07-16,Livingston,180
2026-07-16,Macomb,75
2026-07-16,Manistee,1
2026-07-16,Mason,3
2026-07-16,Mecosta,2
2026-07-16,Midland,5
2026-07-16,Monroe,286
2026-07-16,Montcalm,25
2026-07-16,Muskegon,111
2026-07-16,Newaygo,7
2026-07-16,Oakland,396
2026-07-16,Oceana,2
2026-07-16,Ogemaw,1
2026-07-16,Osceola,3
2026-07-16,Oscoda,1
2026-07-16,Otsego,1
2026-07-16,Ottawa,55
2026-07-16,Presque Isle,3
2026-07-16,Roscommon,6
2026-07-16,Saginaw,38
2026-07-16,Sanilac,34
2026-07-16,Shiawassee,278
2026-07-16,St Joseph,10
2026-07-16,St. Clair,14
2026-07-16,Tuscola,14
2026-07-16,Van Buren,24
2026-07-16,Washtenaw,474
2026-07-16,Wayne,582
